Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000100	0.805906	0.343311	76.334108	94.202898	
0.000100	0.642635	0.355484	80.046405	94.202899	
0.000100	0.548071	0.368805	82.830626	94.202899	
0.000100	0.533575	0.377623	82.366589	92.753623	
0.000100	0.569883	0.384263	81.670536	92.753623	
0.000100	0.615872	0.392190	78.422275	92.753623	
0.000100	0.563258	0.399867	81.438515	92.753623	
0.000100	0.525797	0.408455	83.294664	92.753623	
0.000100	0.482359	0.413368	83.758704	92.753622	
0.000100	0.581650	0.416797	82.134572	92.753623	
0.000100	0.542898	0.416940	82.366590	92.753623	
0.000100	0.449727	0.420594	85.614851	92.753622	
0.000100	0.375502	0.423097	88.399075	92.753623	
0.000100	0.329174	0.427016	88.399075	92.753623	
0.000100	0.455043	0.428945	83.990722	92.753623	
0.000100	0.404305	0.434850	86.078886	92.753623	
0.000100	0.410040	0.441278	85.382832	92.753623	
0.000100	0.348619	0.444516	88.399074	92.753622	
0.000100	0.419013	0.446734	85.614851	92.753623	
0.000100	0.390763	0.450021	87.935036	92.753622	
0.000100	0.442351	0.450996	85.846870	92.753623	
0.000100	0.337235	0.451811	87.935035	92.753623	
0.000100	0.390174	0.453029	86.774942	92.753623	
0.000100	0.304176	0.450522	89.791184	92.753623	
0.000100	0.427256	0.453852	86.310907	92.753623	
0.000100	0.369898	0.456482	86.774943	92.753623	
0.000100	0.370437	0.459019	86.078889	92.753623	
0.000100	0.360820	0.461568	88.863112	92.753623	
0.000100	0.358123	0.462075	87.006961	92.753623	
0.000100	0.294397	0.463140	88.631092	92.753623	
0.000100	0.354909	0.464345	88.167055	92.753623	
0.000100	0.336347	0.463214	87.238981	92.753623	
0.000100	0.325875	0.456267	88.399075	92.753623	
0.000100	0.349608	0.457125	87.471000	92.753623	
0.000100	0.314441	0.458564	90.719260	92.753623	
0.000100	0.305065	0.459522	90.487242	92.753623	
0.000100	0.300644	0.457482	89.327147	92.753623	
0.000100	0.307243	0.456979	89.095130	92.753623	
0.000100	0.301971	0.457322	90.951277	92.753623	
0.000100	0.290749	0.460834	90.719260	92.753623	
0.000100	0.350932	0.458738	87.470998	91.304348	
0.000100	0.360129	0.462531	86.542927	91.304348	
0.000100	0.386323	0.466760	86.078887	91.304347	
0.000100	0.314476	0.471433	88.399073	91.304348	
0.000100	0.345258	0.472121	88.863110	92.753623	
0.000100	0.277032	0.473470	89.559167	92.753622	
0.000100	0.266208	0.474041	91.183298	92.753623	
0.000100	0.386442	0.477652	87.238982	91.304348	
0.000100	0.336410	0.475069	89.559166	92.753623	
0.000100	0.288187	0.472562	89.559167	91.304347	
0.000100	0.360948	0.474211	88.863112	91.304347	
0.000100	0.354043	0.470058	87.935037	91.304347	
0.000100	0.254239	0.464958	92.111371	91.304347	
0.000100	0.254074	0.467045	90.487240	91.304348	
0.000100	0.333624	0.472058	88.863110	91.304347	
0.000100	0.317145	0.469983	88.863110	91.304347	
0.000100	0.346922	0.469991	87.935037	91.304347	
0.000100	0.298354	0.467685	90.023205	91.304347	
0.000100	0.363208	0.470907	88.167055	91.304348	
0.000100	0.329957	0.475949	87.703019	91.304348	
0.000100	0.236523	0.478914	92.111371	91.304347	
0.000100	0.290705	0.480658	88.863110	91.304347	
0.000100	0.316310	0.477975	88.631093	91.304347	
0.000100	0.317668	0.482064	88.863112	91.304348	
0.000100	0.274373	0.482697	90.255221	91.304348	
0.000100	0.329647	0.486858	87.935037	91.304347	
0.000100	0.337876	0.487462	87.006963	91.304348	
0.000100	0.314756	0.488054	88.863110	91.304348	
0.000100	0.293644	0.490433	90.023203	91.304347	
0.000100	0.279192	0.486852	89.327149	91.304347	
0.000100	0.255957	0.488222	90.255223	91.304347	
0.000100	0.309539	0.489170	89.559167	91.304348	
0.000100	0.227451	0.488261	92.111370	91.304347	
0.000100	0.290304	0.490953	89.559165	91.304347	
0.000100	0.241519	0.494113	91.415314	91.304348	
0.000100	0.339460	0.491244	87.703017	91.304348	
